str,en_US,ru_RU,zh_TW
tooltip.dealer,Dealer,Дилер,经销商
tooltip.theme,Change Theme,Сменить тему,更改主题
tooltip.edit,Edit,Изменить,编辑
tooltip.stor,Saved players,Сохраненные игроки,被拯救的球员
tooltip.rot,Rotate,Повернуть,旋转
tooltip.add.new,New,Новый,新的
tooltip.add.stor,From List,Из списка,从列表中
tooltip.add.main,Add Player,Добавить игрока,添加播放器
conf.canc,Cancel,Отменить,取消
conf.new.tittle,New Game Confirmation,Подтверждение новой игры,新游戏确认
conf.new.text1,Are you sure you want to start a new game?,"Вы уверены, что хотите начать новую игру?",你确定要开始一个新游戏吗？
conf.new.text2,Your last lobby will be deleted!,Ваше последнее лобби будет удалено!,你的最后一个大厅将被删除！
conf.new.butt,New Game,Новая игра,新游戏
conf.del.tittle,Delete Confirmation,Подтверждение удаления,删除确认
conf.del.text,Are you sure you want to delete this player?,"Вы уверены, что хотите удалить игрока?",你确定要删除这个播放器吗?
conf.del.butt,Delete,Удалить,删除
conf.rest.tittle,Restore Confirmation,Подтверждение сброса,恢复确认
conf.rest.text,Are you sure you want to restore the game?,"Вы уверены, что хотите сбросить игру?",你确定要恢复游戏吗?
conf.rest.butt,Restore,Сбросить,还原
home.new,New Game,Новая игра,新游戏
home.cont,Continue,Продолжить,继续
home.abo,About,Справка,关于
home.sup,Support me,Поддержать,支持我
support.tittle,You can support me by:,Вы можете поддержать меня:,你可以支持我:
support.video,Video ads,Посмотреть рекламу,视频广告
support.modest,Modest donation,Скромное пожертвование,适度捐款
support.nice,Nice donation,Разумное пожертвование,善款
support.huge,Huge donation,Огромное пожертвование,巨额捐款
support.close,Close,Закрыть,接近/接近
support.free,Free,Бесплатно,免费
about.skip,Skip,Пропустить,跳过
about.end,End tutorial,Закрыть,结束教程
about.welc,Welcome to,Добро пожаловать в,欢迎来到
about.welc.1,This application is designed to replace the material chips.,Это приложение предназначено для замены материальных фишек.,此应用程序旨在取代材料芯片。
about.welc.2,All you need to play: cards and phone!,"Все, что вам нужно для игры: карты и телефон!",所有你需要玩：卡和电话！
about.welc.3,The app:,Приложение:,应用程序:
about.welc.4,stores players' chips,хранит фишки игроков,存储玩家的筹码
about.welc.5,allows you to place bets,позволяет вам делать ставки,允许您下注
about.welc.6,divide the final pot between players,делить итоговый банк между игроками,在玩家之间划分最后的底池
about.welc.7,This application based on the rules of unlimited Texas Hold'em.,Это приложение основано на правилах безлимитного Техасского холдема.,此应用程序基于无限德州扑克的规则。
about.hom.1,Home screen,Начальный экран,主屏幕
about.hom.2,"On the home screen, you can choose a light or dark interface theme.",На главном экране вы можете выбрать светлую или темную тему интерфейса.,在主屏幕上，您可以选择浅色或深色界面主题。
about.hom.3,"The app stores information about your last game. You can exit at any time, most likely, everything will be saved.","Приложение хранит информацию о вашей последней игре. Вы можете выйти в любой момент, скорее всего, все будет сохранено.",该应用程序存储有关您的最后一场比赛的信息。 您可以随时退出，最有可能的是，一切都将被保存。
about.hom.4,"The NEW GAME button deletes all information about the last game, so be careful and save the players to the storage just in case.","Кнопка ""НОВАЯ ИГРА"" удаляет всю информацию о последней игре, поэтому будьте осторожны и сохраните игроков в хранилище на всякий случай.",新游戏按钮会删除有关最后一场比赛的所有信息，所以要小心，并将玩家保存到存储中以防万一。
about.plme.1,Player Menu,Меню игрока,播放器菜单
about.plme.2,The INITIAL STACK button lets you change the initial stack for all players.,Кнопка НАЧАЛЬНОГО СТЕКА позволяет вам изменить начальный стек для всех игроков.,初始堆栈按钮允许您更改所有玩家的初始堆栈。
about.plme.3,Swipe the player left to remove it.,"Проведите пальцем по игроку влево, чтобы удалить его.",向左滑动播放器以将其删除。
about.plme.4,Swipe the player right to add players to the storage.,"Проведите пальцем по игроку вправо, чтобы добавить его в хранилище.",向右滑动播放器以将播放器添加到存储中。
about.plme.5,They will be stored there forever.,Они будут храниться там вечно.,它们将永远储存在那里。
about.plme.6,The management is the same in the players' storage.,Управление в хранилище игроков такое же.,管理在玩家的存储中是相同的。
about.plme.7,Maximum number of players: 10,Максимальное количество игроков: 10,最大玩家人数:10
about.set.1,Settings,Настройки,设置
about.set.2,"In the settings tab, you can also configure the initial stack, as well as small blind.","Во вкладке настройки вы также можете настроить начальный стек, а также малый блайнд.",在设置选项卡中，您还可以配置初始堆栈，以及小盲。
about.set.3,"Before the start of betting, you can make any changes:",Перед началом ставок вы можете внести любые изменения:,在开始投注之前，您可以进行任何更改:
